merchant_id,prequalified
f61d6c19-ff0f-4f73-b254-c2abfe278f2d,1
feef0800-cfbb-484c-83ca-6930ead25be5,1
68d92c74-6d05-4dee-af9f-a908f8b2120b,0
808588c0-fae1-4dac-8298-49e5b22bb64d,1
d9795025-dd9d-4ef4-a5d0-dbd5702c86d8,1
bed057f1-f706-4811-941b-54636055e72d,1
6bc47879-65ad-4269-ae05-60d752f4679e,1
759a2456-b0c7-4f65-a933-30e22fcf8930,1
f769ba41-28fd-4ec4-b8b8-b7fa59ecf649,1
db8141b5-bf56-42af-9871-9bc5c9f8121e,0
fa6d9eda-8c4b-4691-ae77-6f1d87c8f535,1
8f605a04-1e8d-43ad-b40f-97d9831b5c77,1
9064daf7-d6c3-4b1a-82fe-3d897693c4fc,0
e3c223d0-4834-4a71-aeeb-5156289c190b,1
a22f19e1-c7a6-4f22-b76b-ff41f061eda4,1
8b0580f3-d1c1-496d-9bfa-dded195319a9,0
c3d63cac-b0d2-4b2b-b4a2-0acad74900bd,1
7f4470e4-21fa-481f-8299-6150ef432919,1
91a15cef-780e-42be-83ce-ca40c9249d26,0
51e2fd5e-6003-4857-9e63-15d71dc5ced3,0
d8bd6ec8-a546-42d6-b575-424fe56f5549,0
3489922c-942c-4708-88dc-c3aa8c994888,0
9e49a880-f993-4ab2-8266-b0ec26458b3b,1
314c4860-4ef7-438d-a545-13a42b7f2d9b,1
77f0172d-078c-4203-b096-9cda0d589817,0
b241bd50-6634-408c-94d0-72740cd3c2bf,1
c5adfac6-d1b8-4265-9f97-5242cddcc09c,1
626d98bd-3d8c-4979-9fd9-ec91f4e3f03b,1
e30b8131-9bf6-43fa-a7ec-5d57866ae033,1
5684afaa-861b-45a8-955e-62c4fd9e488f,0
8bd531cb-28e1-4e72-87bd-0d34d34d0ad6,0
2d556551-29dd-4271-bea7-b6460da6933a,0
35f98fd6-f41a-47c1-9cba-9a0b2f522345,0
92cdcb0a-6971-4aa2-9a71-6bfe0ac8c816,1
10caf983-9695-4b1c-aac4-fdb91a555c82,0
93ceb092-7e6c-4b56-a0c3-b1fce17a1ac9,1
981abe9e-ea42-490a-9afe-2180ba3ca979,1
aa10bb3c-cfb1-4d6c-a606-5f96c0267af6,0
479c54c6-d85b-422a-9def-ca88b3dc511f,1
23a0ddba-57ee-4de3-a0dc-9224a3695f27,1
22cb3de2-f5ea-4b39-a30f-10bbe0da7f09,1
1a6dfbb1-a105-4260-b616-d8fd87154da1,0
5e57b90d-5333-41e2-ac07-3d2ca331f4ca,1
ceba8eb8-e9df-40c0-8148-ca2ebc1edc85,1
f5c68975-18ec-4425-a003-d1f46febde39,1
96b4fc07-46ee-4815-9364-73d8af8f942e,1
97968c6d-f144-47ec-af8b-5617d477f252,1
56ed218e-6d2e-45bb-aefb-92b21177a2d1,0
8fa1bb37-3914-4782-a6d1-f73b9cafbc75,1
e5b8a040-9e6c-4f9e-a637-0e756195752a,0
3d70c8c0-dc0f-40eb-9480-2f470eb7cf20,1
bcb4985c-dedb-4453-943a-7b419bc8b530,1
7e3d453f-c11b-400f-b01f-21783c8b06fd,1
197d95da-21f6-4246-ad6d-43023e99c29b,0
507bad68-a39d-4b08-a621-9d5cc5a7e646,1
4022c470-641e-4875-b04c-991a4689fdcf,0
78d2f711-9a91-48bf-871d-be3373ed0c4a,1
d4e156ac-d922-4596-b352-99469d1dfc72,1
1f1d02b7-5b03-4468-96d7-6f7eced8a772,1
34b89e42-15ad-4218-9df0-537e7937242d,1
460cfec7-6d25-4df9-b869-9986d40ee1e0,1
b046112b-25c8-4973-8aaa-da24b83b21bb,0
d8bd130d-683c-4cfd-91ed-a579ac9271d3,1
c6727fa6-dcbf-430a-8808-3fb8350afe18,1
b5c0f205-451e-4c30-8f90-b29db57b669b,1
4b379e75-53cb-4229-a8d1-246281d62096,1
7c559652-35ee-4a2a-8f2d-adc49b9c8253,0
c816dd89-9a7f-49bf-ad2a-3e610c08d22d,0
3ff7bf36-afc9-4616-b0e2-ded39a625ce8,0
e5c63695-ecbe-4236-8bc6-27876d418d19,1
7730569a-d8ac-47a5-89ce-f51619ef1551,0
41e5cca1-a19f-43c5-a351-12ffd24062a4,1
9e72f62d-0978-419c-864c-ddcc8c105fd6,0
e328bebe-faa0-4375-b15e-9e48f50ba2bf,1
1f8932bf-8690-4b72-a00f-229d4402a98b,0
11b1b0c1-96ad-4dd1-a2e5-83940b5a8982,0
9efba6b7-a89d-4925-bb2f-814f8d6a3b9a,0
756cd501-b7c2-488e-963b-b726d35e8af6,0
725a4128-922d-41bb-a159-26530e406c23,0
351ca792-8a71-4404-800b-2d6e41562681,1
beb14892-433b-4d7a-b1d5-d95efee2904c,1
17de1575-57bd-49d8-bce4-5112461bb13e,0
2d26f032-9570-4bc2-b34f-706566e0e2c1,1
baf75845-bedb-44bc-915e-f6042fe4de3a,1
1e845c56-8955-48c7-a588-9474ec9e4fae,1
fe589da1-fc1c-4125-abaa-23594e8f6a2a,1
73785050-24f3-4be4-b016-57d2ec91a60a,0
deb33dc4-1a7a-438a-a46a-7cdf44057c73,0
015f1b5d-b518-49d2-a997-fb8c0b42b46f,1
d80d2077-1414-4d53-8c53-40117672fdeb,1
796a27ca-1c64-4d1a-97a6-657dd20e130e,1
2c1f5a4d-3bf0-4ceb-a787-141eca631983,0
67e77ab1-b2b7-43ae-9599-2b190d71ed3b,0
3cac586e-7a66-4f3b-b26a-d1d676365d44,1
949091f0-ff86-4a07-a5df-1af23be0c136,0
7a85c521-6c85-4c49-ab16-a3a66df42245,1
3552315b-3e7f-4153-a4e9-113cbc8c446b,0
32aa4f18-6621-4024-a876-349a4c09efd4,1
3bf57b69-f146-45c9-b956-06315235eff7,0
201c5e71-29c9-4e74-962b-35683b877c62,0
e465a1b1-7b29-457d-9936-5ed50f801b16,0
7f30b7fd-7869-4567-b639-8a26cdc1a4c4,1
ed4f4cd5-b714-40f8-b253-80406b2356f9,1
acc710d7-0a39-48c9-ae5c-6dabae8551e7,0
4feff877-474c-4660-9395-65d955ff5aff,0
ea9a9f68-4087-4824-ab58-851a36f55a53,0
4dbd08ff-0328-4246-b453-b9ba1ce5b398,0
e392cde6-4045-4b50-95e7-4b5ff34ef66a,0
fc217ac7-9129-40a8-8dad-05c9af28d3fe,0
825a04df-aa16-45ee-a778-261ea731cfd3,1
bb7ca226-f177-41c1-90b8-023b2820c61a,1
26fc2fd4-2c0b-4071-83f4-433269134de7,1
e80ee7e6-fa28-419a-b28c-1c624f35aa05,0
7ef5987c-9c0f-4e5b-9242-272a5d87bcf9,1
7b63ec77-0197-4830-b602-b77d5f3e9ae1,1
32ee2b28-b418-45a3-85a2-6cc1deafb43e,1
795c9d9c-a084-4dfe-9827-b5a2796b243d,1
deef9352-243b-4565-98ab-5481c901f73e,0
cb343b8f-8ff1-4cdf-a196-96cc821c4985,0
0cf18023-72ec-4e18-9f91-84a5edbd5d7b,1
049d6f62-fb1f-44b3-b16d-78cd3936535d,0
4fd031d1-f7b8-457a-b78d-511cc2fedd87,0
5492381e-4115-4865-8743-b929d3325cb6,0
90bdf923-1ba5-4a0d-aba1-6149a657e3c9,0
25e7a6b4-6799-43a3-a10d-885b7455dee6,1
40198417-ed8b-4d8a-a265-5c3ef4728950,0
5eecc033-66d8-4bcc-8805-fb654d58cba5,1
91819801-2745-4140-a830-7cc0673d36a3,0
eb3718a6-42a4-4ecb-8741-0b15d0cc48d0,1
d794f0fd-3fa0-425b-a018-bebcd5cccacb,1
7e19fdc7-e2b9-43a2-b5d9-4030ac7af58e,0
db3e0ce9-71d8-4b26-a4aa-2b2b6d497dde,0
6c90a71a-1ac5-4353-a930-755635e71cf8,1
a748a314-b70f-41be-9d45-4315b0e0c921,1
49c7deb9-441b-4d2a-8c7b-5286853b7ef6,1
15711a5c-bf70-45bf-a41a-abee00de4833,1
8eab80ef-4e72-449d-80be-42cb080e6af4,0
ffb7694c-dbff-45c4-b53e-6af59a5b7e5d,1
a31234b6-7d2e-48a7-8dbb-755d9e08d2e9,1
daa46f2c-92cb-4d26-92c4-3caa6f39898d,1
62e1e5d0-9210-4190-a6f9-5f41a1fbfa0d,0
1b22a22f-3bbc-43de-9bac-dcce1bfe4949,0
fdf596b2-578d-49aa-8702-0869a0141fcc,1
cdec6cbf-d75f-4dd7-ad4e-0d2d7d90d64d,1
d3e5ef8e-9566-45f2-ab92-0be9d8dd60c5,1
d49c0a63-62e9-4de5-9f73-cbc8a6c96a2c,1
e7ea7248-df60-425a-a078-6dbd542830d6,1
64a29a8d-61ac-427d-a058-a2fb87249f48,1
88c099d1-67ce-4233-8ac7-1de2b0c687db,1
a73bbac1-a645-4d89-bfea-4b5c5fd5d5c7,0
56126f16-1f48-45b5-abaa-53309060a6a7,1
39535e05-6833-4bbe-94a6-204c36294855,1
22a47739-b541-463f-8978-8a026228f74b,0
cabcf5a2-e40f-413e-8f0f-c4b9c416ee33,1
473e458f-98e4-4d00-b2cb-bb66c9be5f98,0
6f1a76a4-6b6c-4edc-9629-93c967117f43,1
deca4ec9-9f61-4ef6-b811-267ea52de6ca,1
8339ef06-af96-46fc-8700-c2405d933e9a,0
5ea22715-2a10-48e2-b645-4184e463de46,1
5541cf37-c3f2-4073-b014-85c5f06d739f,1
7bc9787e-f3ab-467c-a667-432c90b9bce1,1
da423cbb-0fa6-4b81-91b2-381cad75faee,0
3cb80ec0-6f79-4ee1-b0a2-718ba739ec47,1
6b7f0f86-fb79-4416-ae42-cbd83f68bf2d,1
7095500f-ad89-452d-ad57-aa6cf8097780,1
4d8256f5-36b8-4eaa-b485-b16390dfa094,1
4074f857-aaed-48e8-a5b4-ac5e10189eb3,1
a2a2b1fa-4741-4827-87a4-ce7043df6cba,1
7ef1feb0-b8b8-4a09-aaa0-f37eba2c66df,0
2fd03f05-0e11-41e5-81b2-1b77333e869b,1
59e60b0e-0d93-45a5-ba3c-66ad1066c590,1
376c99aa-f19a-4959-ac54-59a30072ff68,0
f96f442a-52e4-4c7a-ae85-4bf60ba7043b,0
068d270b-e9cb-4988-acd9-cb788ea407b2,1
6c44b820-29d1-4257-91c1-c6bdb369b728,1
0249cb34-b825-4d98-98b0-550e92130487,0
390d8e30-cc4a-48c6-8b46-dcb687771246,1
d0bae8d6-f58c-4689-8beb-23dd244d8181,1
d1320818-5139-41a9-bb5c-7b6a3389d0ef,1
798c0ff4-b4cc-4578-8d96-6650df9db9f7,1
b560e4e8-8692-458c-9b0b-78d929448b01,1
ba34a8c1-3d3c-4322-81e3-c4f0a7ff7b57,0
6b463a4e-7d8f-415d-87a0-83c3f5a536f5,0
3684f56a-af82-4a20-8f41-06a570d57bc0,1
56be92a0-69ea-4a08-bfe5-36ed10aea43f,1
c7709b45-a86b-4c00-978b-d5d2a5fceb8f,1
38ec8765-8162-4948-a054-27235a347243,0
5ff6b868-b3ae-43ca-8774-977f27cabd82,1
23665044-e10a-47ae-a3a0-b3c2349d6e91,0
f37bbcb6-5de2-40d7-b723-aab210cebd24,1
45b5ed1f-844a-4750-a759-976b470e7aba,1
dafad2bd-f728-45b1-bb9d-52a352a8284e,0
5817a9cd-9801-488e-a2de-9a11d0af8453,0
2e722126-c48e-459c-aa68-67ac0156b8c4,1
422f6117-9533-48f9-8655-7877277c3b7a,1
b072d398-6e08-47ae-8a67-3406f6b2a594,0
084f0ed8-4727-4ce7-99fc-017c06db99cf,0
37c9a5eb-40a0-4d74-bc35-632f2b490cd1,1
9a8cc677-6d53-4cb0-ac10-8ac67465d582,1
f1d40b2f-155e-4b76-8adf-feb97f66bc40,1
6629d80b-5d6f-40ca-8ace-7398bccb8275,1
3c263fa5-def4-4445-92b5-fa1f0b24491d,1
a8a7f414-d1c3-4d88-984c-4dc39c1c3993,0
